                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9617,                 2.2809,                 1.6844,                0.01751,                0.24825,                0.01036,                0.00355,                 2.7991,                    inf,                 4.1271,             0.00066328,             0.00066328,             0.00066328
                      2,                 2.0406,                 2.1793,                 1.7623,                0.08533,                0.23919,                0.05043,                0.01703,                  2.485,                 4.2244,                 2.1567,              0.0013234,              0.0013234,              0.0013234
                      3,                 2.0007,                 2.1247,                 1.7148,                0.21987,                0.25031,                0.13933,                 0.0495,                 2.1862,                  2.455,                 1.8687,              0.0019768,              0.0019768,              0.0019768
                      4,                 1.9594,                 2.0613,                 1.6585,                0.32071,                 0.2886,                 0.2443,                0.11607,                 1.9061,                 2.0955,                 1.6459,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.8475,                 1.9848,                 1.5915,                0.38466,                0.36517,                0.31135,                0.14567,                 1.8298,                 1.9243,                 1.6059,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.8171,                 1.9147,                 1.5794,                0.35533,                0.31412,                0.26471,                0.12487,                 1.8772,                 1.9458,                 1.6173,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.7899,                 1.8903,                 1.5366,                 0.3682,                0.36324,                0.30172,                0.15472,                 1.7352,                 1.8608,                 1.5252,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.7386,                 1.8195,                 1.5151,                 0.3886,                0.36517,                0.29939,                0.13816,                 1.7649,                 1.9841,                 1.5367,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.7163,                 1.7957,                 1.5127,                0.36053,                0.35406,                0.31015,                0.16352,                 1.7023,                 1.7725,                 1.5099,              0.0019208,              0.0019208,              0.0019208
                     10,                  1.701,                 1.8017,                 1.4957,                0.43738,                0.39522,                0.36335,                 0.1933,                 1.6469,                 1.7192,                 1.4654,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.6908,                 1.7652,                  1.484,                0.41349,                0.41087,                0.35932,                0.19031,                 1.6334,                 1.6753,                 1.4486,               0.001901,               0.001901,               0.001901
                     12,                 1.6728,                 1.7423,                 1.4874,                0.44184,                0.40552,                0.36567,                0.18702,                 1.6636,                 1.6592,                 1.4696,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.6654,                 1.7252,                 1.4713,                0.44776,                0.38987,                0.36915,                0.19442,                 1.6383,                 1.6362,                  1.454,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.6437,                 1.6989,                 1.4509,                0.43442,                0.41005,                0.37996,                0.20303,                 1.5987,                 1.6029,                 1.4354,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.6382,                  1.698,                 1.4558,                 0.4302,                0.43082,                0.38278,                0.20307,                 1.6072,                 1.6199,                  1.429,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.6352,                  1.673,                 1.4522,                0.44339,                0.41993,                0.38443,                0.19688,                 1.6412,                 1.6434,                 1.4445,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.6231,                 1.6672,                 1.4347,                0.47818,                0.41828,                0.38994,                0.20773,                 1.5977,                 1.6055,                 1.4276,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.6144,                 1.6354,                 1.4237,                 0.4628,                0.41457,                0.40149,                0.21544,                 1.5823,                  1.563,                 1.4077,              0.0018317,              0.0018317,              0.0018317
                     19,                 1.6091,                 1.6512,                 1.4298,                0.48895,                0.43145,                0.41462,                0.22141,                  1.562,                 1.5997,                 1.4082,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.5955,                 1.6243,                 1.4249,                0.46541,                0.44504,                 0.4073,                0.22073,                 1.5819,                 1.5324,                 1.4222,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.5891,                 1.6217,                 1.4256,                0.49049,                 0.4084,                0.40552,                0.22367,                 1.5521,                 1.5417,                  1.403,               0.001802,               0.001802,               0.001802
                     22,                 1.5807,                 1.5754,                 1.4154,                 0.4467,                0.41951,                0.38898,                0.21427,                 1.5627,                 1.5489,                 1.4279,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.5763,                 1.5862,                  1.416,                0.44908,                0.42855,                0.40208,                0.22444,                 1.5879,                 1.5007,                 1.4265,              0.0017822,              0.0017822,              0.0017822
                     24,                 1.5596,                 1.5703,                 1.4003,                0.46371,                 0.4014,                0.39091,                0.21608,                  1.573,                 1.5598,                 1.4155,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.5382,                 1.5596,                 1.4038,                0.47255,                0.43117,                0.41689,                0.22615,                 1.5406,                 1.5089,                 1.4035,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.5395,                 1.5533,                 1.3997,                0.47281,                0.44491,                0.41718,                0.22814,                 1.5564,                 1.4698,                 1.4032,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.5363,                 1.5383,                 1.3876,                0.48702,                0.43104,                0.41813,                0.23206,                 1.5211,                 1.4551,                 1.3938,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.5192,                 1.5187,                 1.3739,                0.48813,                0.42651,                0.41409,                0.23697,                 1.5061,                 1.4609,                 1.3835,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.5249,                 1.5337,                 1.3942,                0.47665,                0.43475,                0.41622,                0.22417,                 1.5418,                 1.4579,                 1.3907,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.5239,                 1.5265,                 1.3931,                0.48803,                0.43886,                0.42082,                0.23186,                 1.5312,                 1.4829,                 1.4055,              0.0017129,              0.0017129,              0.0017129
                     31,                 1.5198,                 1.5088,                 1.3818,                0.47729,                0.43644,                0.43195,                0.24518,                 1.5084,                  1.425,                 1.3852,               0.001703,               0.001703,               0.001703
                     32,                 1.5142,                 1.5198,                 1.3795,                0.52019,                0.44545,                0.43654,                0.23971,                 1.4995,                 1.4486,                 1.3837,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.5107,                 1.5202,                 1.3814,                0.49812,                0.43516,                0.42084,                0.22736,                 1.5196,                 1.4457,                 1.3924,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.5045,                 1.4922,                 1.3711,                0.49866,                0.44347,                0.42813,                0.23273,                 1.5252,                 1.4624,                 1.3972,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.4945,                 1.4967,                  1.365,                0.48524,                0.45245,                 0.4316,                0.23166,                 1.5036,                 1.4504,                 1.3775,              0.0016634,              0.0016634,              0.0016634
                     36,                  1.504,                 1.4804,                 1.3597,                0.48074,                 0.4401,                 0.4312,                 0.2414,                 1.4966,                 1.4412,                 1.3753,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.4839,                 1.4631,                 1.3628,                0.49126,                0.45657,                0.44069,                0.24538,                   1.49,                  1.423,                 1.3716,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.4769,                 1.4534,                 1.3523,                0.50122,                0.44257,                0.44711,                0.25188,                 1.4834,                 1.3816,                 1.3615,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.4784,                 1.4544,                  1.348,                0.50887,                0.44021,                0.44396,                0.24973,                 1.4915,                 1.4367,                  1.356,              0.0016238,              0.0016238,              0.0016238
                     40,                  1.476,                 1.4424,                  1.342,                0.48572,                0.44916,                0.42903,                0.24357,                 1.4727,                 1.4174,                 1.3455,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.4617,                 1.4318,                 1.3392,                0.51838,                 0.4438,                0.44999,                0.25096,                 1.4707,                 1.3799,                 1.3509,               0.001604,               0.001604,               0.001604
                     42,                 1.4722,                 1.4457,                 1.3482,                0.50294,                0.46233,                0.44193,                0.24284,                 1.4776,                 1.4308,                 1.3717,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.4298,                 1.4281,                 1.3333,                0.50777,                0.44669,                0.44989,                0.25285,                 1.4791,                 1.3736,                 1.3545,              0.0015842,              0.0015842,              0.0015842
                     44,                  1.467,                 1.4203,                 1.3406,                0.49872,                0.45739,                0.45267,                0.25824,                 1.4678,                 1.3466,                 1.3442,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.4733,                 1.4416,                 1.3536,                 0.5107,                0.45368,                0.44254,                0.24867,                 1.5213,                  1.393,                 1.3662,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.4393,                 1.4159,                 1.3369,                 0.4994,                0.48044,                0.45477,                0.25086,                 1.5054,                 1.3912,                 1.3691,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.4481,                 1.4025,                 1.3377,                0.50812,                0.46933,                0.45957,                0.25061,                 1.4809,                  1.394,                 1.3444,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.4225,                 1.4068,                 1.3223,                0.50604,                0.46274,                0.45184,                0.25799,                  1.459,                 1.3528,                 1.3494,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.4356,                 1.4013,                 1.3224,                0.52923,                0.44846,                0.45955,                 0.2559,                 1.4818,                 1.3555,                  1.359,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.4264,                 1.3802,                 1.3264,                0.53767,                0.44339,                0.45778,                0.25196,                 1.4724,                 1.3712,                 1.3455,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.4215,                 1.3837,                 1.3252,                0.50606,                0.46809,                0.46622,                0.25515,                 1.4769,                 1.3667,                 1.3489,               0.001505,               0.001505,               0.001505
                     52,                 1.4274,                 1.3771,                 1.3254,                0.52205,                0.46315,                 0.4665,                0.26609,                 1.4542,                 1.3346,                 1.3414,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.4283,                 1.3926,                 1.3224,                0.50477,                0.46915,                0.46023,                0.25145,                  1.477,                 1.3844,                 1.3508,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.4229,                 1.3798,                  1.313,                  0.534,                0.44792,                0.46529,                0.25419,                 1.4924,                 1.3828,                 1.3577,              0.0014753,              0.0014753,              0.0014753
                     55,                  1.413,                 1.3599,                 1.3216,                0.52212,                0.47427,                0.48196,                0.26641,                 1.4526,                 1.3364,                 1.3415,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.4021,                 1.3394,                 1.3096,                 0.5047,                 0.4718,                0.46231,                0.25915,                 1.4596,                 1.3508,                 1.3464,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.4054,                 1.3648,                 1.3164,                0.51879,                0.45533,                0.46957,                0.26179,                 1.4695,                 1.3284,                  1.356,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.3942,                 1.3447,                 1.3071,                 0.5046,                0.46357,                 0.4575,                0.25384,                 1.4516,                 1.3295,                 1.3424,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.3913,                 1.3481,                 1.3122,                0.52375,                0.46315,                0.47032,                0.26104,                 1.4506,                 1.3183,                 1.3393,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.3916,                 1.3606,                 1.3029,                0.52065,                0.46233,                0.46044,                0.25978,                 1.4532,                 1.3243,                 1.3414,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.4032,                 1.3522,                 1.3176,                0.53031,                0.45574,                0.47464,                0.26174,                 1.4598,                 1.3232,                 1.3493,               0.001406,               0.001406,               0.001406
                     62,                 1.3816,                 1.3311,                 1.2928,                0.51827,                0.45533,                0.45954,                0.25111,                 1.4839,                 1.3322,                 1.3482,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.3943,                  1.331,                 1.2932,                0.52895,                0.46604,                0.47337,                 0.2629,                 1.4522,                 1.3283,                 1.3337,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3842,                 1.3258,                 1.3037,                 0.5105,                0.48044,                 0.4757,                 0.2648,                  1.453,                 1.3134,                 1.3396,              0.0013763,              0.0013763,              0.0013763
                     65,                  1.359,                 1.3164,                 1.2914,                0.52758,                 0.4718,                0.47132,                0.26212,                 1.4709,                 1.3317,                 1.3509,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.3809,                 1.3122,                 1.2933,                0.50654,                0.46933,                0.46455,                0.26294,                 1.4594,                 1.3092,                 1.3436,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.3694,                 1.3022,                 1.2857,                0.54145,                0.45739,                0.47142,                0.26285,                 1.4651,                 1.3101,                 1.3463,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.3722,                 1.3155,                 1.2852,                0.52952,                0.47797,                0.47816,                0.26898,                 1.4499,                 1.2942,                 1.3326,              0.0013367,              0.0013367,              0.0013367
                     69,                  1.356,                 1.2994,                 1.2848,                0.53791,                0.46535,                0.47935,                0.27136,                  1.444,                 1.2979,                 1.3452,              0.0013268,              0.0013268,              0.0013268
                     70,                   1.35,                 1.2902,                 1.2746,                0.54628,                0.45945,                0.47892,                0.26766,                 1.4617,                 1.3106,                 1.3416,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.3501,                 1.2789,                 1.2708,                0.52502,                0.46604,                0.47128,                0.26578,                 1.4656,                 1.2799,                  1.352,               0.001307,               0.001307,               0.001307
                     72,                 1.3477,                  1.287,                 1.2706,                 0.5264,                0.48044,                0.48523,                0.26733,                 1.4618,                 1.2765,                 1.3541,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.3407,                 1.2839,                 1.2736,                0.53491,                0.46308,                0.47613,                0.26468,                 1.4565,                 1.2949,                 1.3408,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.3538,                 1.2742,                 1.2836,                0.49392,                0.50473,                0.47985,                0.26748,                 1.4414,                 1.2997,                 1.3282,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.3501,                 1.2959,                 1.2802,                 0.5117,                0.47962,                0.47983,                 0.2709,                 1.4543,                 1.2873,                  1.338,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.3397,                 1.2705,                 1.2748,                0.52048,                0.45821,                0.47359,                0.26518,                 1.4479,                 1.3103,                 1.3417,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.3366,                 1.2487,                 1.2684,                0.53979,                0.45739,                0.48078,                0.27054,                 1.4493,                 1.2903,                 1.3377,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.3423,                 1.2655,                 1.2673,                0.55494,                0.46562,                0.48036,                 0.2679,                 1.4569,                 1.2771,                 1.3334,              0.0012377,              0.0012377,              0.0012377
                     79,                  1.315,                 1.2445,                 1.2572,                0.52739,                0.47825,                 0.4793,                0.27169,                 1.4409,                 1.2734,                 1.3282,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.3159,                 1.2565,                 1.2538,                0.52516,                0.47626,                0.47775,                0.26936,                 1.4356,                  1.287,                 1.3305,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.3392,                 1.2562,                 1.2623,                0.52029,                0.47592,                0.47795,                0.26897,                 1.4482,                 1.2938,                 1.3348,               0.001208,               0.001208,               0.001208
                     82,                 1.3149,                 1.2172,                 1.2567,                0.55563,                0.46892,                 0.4862,                0.27002,                 1.4583,                 1.2858,                 1.3403,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.3132,                 1.2293,                 1.2498,                0.51768,                0.46892,                0.47328,                0.26894,                  1.442,                 1.2805,                 1.3286,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.3154,                 1.2514,                 1.2613,                0.50196,                0.49238,                0.47659,                0.25782,                 1.4562,                 1.3238,                 1.3487,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.3198,                 1.2288,                 1.2546,                0.56755,                0.45169,                0.49403,                0.27653,                 1.4608,                 1.2553,                 1.3475,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.3016,                 1.2305,                 1.2539,                0.53699,                0.47015,                0.48703,                0.27459,                 1.4386,                  1.264,                 1.3339,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.2865,                 1.2188,                 1.2463,                0.53023,                0.47592,                0.48861,                 0.2742,                 1.4439,                 1.2728,                 1.3271,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.3029,                 1.2109,                 1.2403,                0.52661,                0.47468,                 0.4799,                0.26714,                 1.4571,                 1.2715,                 1.3417,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.2859,                 1.2151,                  1.248,                0.54215,                0.46068,                0.47876,                0.27253,                 1.4362,                 1.2689,                 1.3354,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.2784,                 1.1897,                 1.2384,                0.52681,                0.47221,                 0.4764,                0.26432,                 1.4567,                 1.2736,                 1.3494,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.3124,                 1.2159,                 1.2532,                0.54408,                0.46398,                0.47745,                0.26897,                 1.4461,                 1.2768,                  1.339,               0.001109,               0.001109,               0.001109
                     92,                 1.2825,                 1.1998,                 1.2357,                0.52432,                0.48415,                0.48121,                0.27199,                 1.4411,                 1.2548,                 1.3333,              0.0010991,              0.0010991,              0.0010991
